Country,LandArea,MedianIncome
Luxembourg,2586,44270
Norway,365268,40720
Switzerland,41284,37946
Austria,82527,34766
Iceland,100250,34316
Netherlands,33893,34756
Belgium,30528,33142
Denmark,42430,32788
Sweden,410335,32772
Germany,348672,32133
France,551695,28146
Slovenia,20173,25524
United Kingdom,241930,25407
Italy,294140,25265
Spain,498468,25125
Estonia,42388,21812
Czech Republic,77295,21499
Israel,21640,20893
Poland,312696,19057
Portugal,92212,18711
Lithuania,62674,18780
Latvia,64562,17508
Slovak Republic,48105,16109
Greece,131957,15384
Hungary,90530,14395
Bulgaria,110879,13341
Romania,238397,11945
Turkey,783356,10802